12001,,,JQ1YDA,Komae-city,Tokyo,Japan,
12002,,,JR0ZGT,Komoro-city,Nagano,Japan,
12003,,,JR1YWZ,Maebashi-city,Gunma,Japan,
12004,,,JQ1ZKB,Mito-city,Ibaraki,Japan,
12005,,,JE7ZFU,Miyako-city,Iwate,Japan,
12006,,,JL3YYW,Katsuragi-city,Nara,Japan,
12007,,,JN7LNU,Morioka-city,Iwate,Japan,
12008,,,JR7YMF,Sendai-city,Miyagi,Japan,
12011,,,JL2EEQ,Nagoya-city,Aichi,Japan,
12012,,,JL3ZHI,Kyoto-city,Kyoto,Japan,
12014,,,JA4TKB,Hofu-city,Yamaguchi,Japan,
12015,,,JH1HOR,Hachioji-city,Tokyo,Japan,
12016,,,7L1SCC,Machida-city,Tokyo,Japan,
12017,,,JO6CIE,Kagoshima-city,Kagoshima,Japan,
12018,,,JN1ZIA,Yokohama-city,Kanagawa,Japan,
12019,,,JA4FHV,Shimonoseki-city,Yamaguchi,Japan,
12020,,,JR1LHL,Suginami-ku,Tokyo,Japan,
12022,,,JL3ZKI,Higashiosaka-city,Osaka,Japan,
12023,,,JG7IMF,Sendai-city,Miyagi,Japan,
12024,,,JN3JOE,Kobe-city,Hyogo,Japan,
12027,,,JF6BPD,Kushima-city,Miyazaki,Japan,
12029,,,JG1CTQ,Maebashi-city,Gunma,Japan,
12030,,,JP7FSO,Fukushima-city,Fukushima,Japan,
12033,,,JP3EKC,Amagasaki-city,Hyogo,Japan,
12034,,,JL1ARP,Edogawa-ku,Tokyo,Japan,
12036,,,JN1ZIA,Yokohama-city,Kanagawa,Japan,
12038,,,JI1KAV,Maebashi-city,Gunma,Japan,
12039,,,JQ1ZNT,Fussa-city,Tokyo,Japan,
12040,,,JJ2YNE,Nabari-city,Mie,Japan,
12043,,,JR3HFR,Kameoka-city,Kyoto,Japan,
12044,,,JN1MOI,Tokorozawa-city,Saitama,Japan,
12045,,,JG6YDE,Kitakyushu-city,Fukuoka,Japan,
12046,,,JG6YDE,Kitakyushu-city,Fukuoka,Japan,
12047,,,JK7IZT,Miyako-city,Iwate,Japan,
12048,,,JH2AUQ,Nagoya-city,Aichi,Japan,
12049,,,JG6YLH,Kasuya-gun,Fukuoka,Japan,
12050,,,JQ1ZNH,Shibuya-ku,Tokyo,Japan,
12051,,,JM3LBX,Kyoto-city,Kyoto,Japan,
12052,,,JE0VGN/3,Kyoto-city,Kyoto,Japan,
12053,,,JQ1ZKF,Sagamihara-city,Kanagawa,Japan,
12054,,,JA3GBT,Yao-city,Osaka,Japan,
12055,,,JL3ZEN,Himeji-city,Hyogo,Japan,
12056,,,JH5HOA,Iyo-gun,Ehime,Japan,
12057,,,JA4YHX,Okayama-city,Okayama,Japan,
12059,,,JA6TJY,Kumamoto-city,Kumamoto,Japan,
12060,,,JF9MHG,Kanazawa-city,Ishikawa,Japan,
12061,,,JQ1ZOZ,Chiba-city,Chiba,Japan,
12062,,,JN3VDE,Toyonaka-city,Osaka,Japan,
12063,,,JQ1ZEC,Katsushika-ku,Tokyo,Japan,
12064,,,JF1NKS,Tsuchiura-city,Ibaraki,Japan,
12065,,,JQ1BWT,Machida-city,Tokyo,Japan,
12067,,,JA1RPI,Tsuchiura-city,Ibaraki,Japan,
12068,,,JA9ILN,Sakai-city,Fukui,Japan,
12072,,,JA9THA,Wajima-city,Ishikawa,Japan,
12073,,,JM1FVO,Setagaya-ku,Tokyo,Japan,
12074,,,JH9YEK,Nanto-city,Toyama,Japan,
12075,,,7N1MPI,Nasushiobara-city,Tochigi,Japan,
12076,,,JL3ZDI,Osaka-city,Osaka,Japan,
12077,,,JQ1ZLR,Narita-city,Chiba,Japan,
12079,,,JH1XBX,Agatsuma-gun,Gunma,Japan,
12080,,,JM8BBV,Chitose-city,Hokkaido,Japan,
12081,,,JN3NVC,Kasai-city,Hyogo,Japan,
12082,,,JE6KIV,Kitakyushu-city,Fukuoka,Japan,
12083,,,JA6FOD/1,Ryugasaki-city,Ibaraki,Japan,
12084,,,JP1HCS/2,Nagakute-city,Aichi,Japan,
12085,,,JS1YCM,Yotsukaido-city,Chiba,Japan,
12086,,,JF1JBO,Inashiki-city,Ibaraki,Japan,
12089,,,JE1EER,Edogawa-ku,Tokyo,Japan,
12090,,,JR2YJC,Nagoya-city,Aichi,Japan,
12092,,,JG6YHV,Fukuoka-city,Fukuoka,Japan,
12093,,,JF7GMD,Shibata-gun,Miyagi,Japan,
12095,,,JR1HUJ,Midori-city,Gunma,Japan,
12096,,,JP3DIK,Takatsuki-city,Osaka,Japan,
12098,,,JR2RGU,Shimada-city,Shizuoka,Japan,
12099,,,JR7HMT,Ichinoseki-city,Iwate,Japan,
12101,,,JH2ECC,Gifu-city,Gifu,Japan,
12102,,,JJ2YGK,Gifu-city,Gifu,Japan,
12103,,,JH1THS,Takahagi-city,Ibaraki,Japan,
12104,,,JE6BVY,Sasebo-city,Nagasaki,Japan,
12105,,,JL8XFY,Kitami-city,Hokkaido,Japan,
12106,,,JL3YZF,Kawanishi-city,Hyogo,Japan,
12107,,,JL7HQJ,Minamisoma-city,Fukushima,Japan,
12108,,,JH3GQR,Osaka-city,Osaka,Japan,
12109,,,JM7QJL,Miyako-city,Iwate,Japan,
12110,,,JJ0OXH/1,Hachioji-city,Tokyo,Japan,
12111,,,JR7JTU,Tendo-city,Yamagata,Japan,
12112,,,JH1RDZ,Koto-ku,Tokyo,Japan,
12114,,,JM1ILF,Takasaki-city,Gunma,Japan,
12115,,,JL3ZHL,Osaka-city,Osaka,Japan,
12116,,,JJ3YQM,Kashiba-city,Nara,Japan,
12117,,,JA1KGY,Fukaya-city,Saitama,Japan,
12118,,,JK3WOJ,Mishima-gun,Osaka,Japan,
12119,,,JH8DNK,Sapporo-city,Hokkaido,Japan,
12120,,,JG1MSU,Tsukuba-city,Ibaraki,Japan,
12122,,,JA3DYM,Himeji-city,Hyogo,Japan,
12123,,,JG3STI,Funai-gun,Kyoto,Japan,
12124,,,JH1DPC,Sakura-city,Chiba,Japan,
12125,,,JP7BYD,Sakata-city,Yamagata,Japan,
12126,,,JQ1ZNV,Kita-ku,Tokyo,Japan,
12127,,,JJ2YMI,Shizuoka-city,Shizuoka,Japan,
12129,,,JE7ZBU,Morioka-city,Iwate,Japan,
12130,,,JQ1ZNI,Sumida-ku,Tokyo,Japan,
12131,,,JS1YGN,Sammu-city,Chiba,Japan,
12132,,,JM1XZE,Hitachi-city,Ibaraki,Japan,
12133,,,JQ1PWC,Hitachi-city,Ibaraki,Japan,
12134,,,JA1FIF,Narita-city,Chiba,Japan,
12135,,,JE9MBV,Obama-city,Fukui,Japan,
12136,,,7M2VYN,Agatsuma-gun,Gunma,Japan,
12137,,,JR0YAV,Nagano-city,Nagano,Japan,
12138,,,JH0WJE,Azumino-city,Nagano,Japan,
12140,,,JH7OMK,Aomori-city,Aomori,Japan,
12141,,,JG1OGZ,Maebashi-city,Gunma,Japan,
12142,,,JE7ZBV,Miyako-city,Iwate,Japan,
12143,,,JA3OCW,Toyooka-city,Hyogo,Japan,
12144,,,JQ1ZOM,Sano-city,Tochigi,Japan,
